// cResource subclass information. [07-01-2021 00-57-23]
// Image Base: 0X140000000

Class [rStoryOtomoTalk], file extension: tk_ot
Class [rStoryTargetData], file extension: std
Class [rStoryTrialSchedule], file extension: strtr
Class [rStringList], file extension: stlst
Class [rSupplyData], file extension: supp
Class [rSwopCategory], file extension: swpc
Class [rSwopEnemyRate], file extension: swer
Class [rSwopItem], file extension: swpi
Class [rSwopNeeds], file extension: swpn
Class [rSwopParam], file extension: swpp
Class [rTentGimmickOfs], file extension: tg_off
Class [rTentOfsTable], file extension: totab
Class [rTexture], file extension: tex
Class [rThinkTable], file extension: thk
Class [rThinkTableList], file extension: thklst
Class [rTimeline], file extension: tim
Class [rTimelineList], file extension: timl
Class [rTitleNews], file extension: tnew
Class [rTraceData], file extension: trd
Class [rTraderData], file extension: trdr
Class [rTrain], file extension: spn2
Class [rTreasureData], file extension: trsr
Class [rTrialRoomLog], file extension: trl
Class [rTurbulenceAsset], file extension: tfa
Class [rTutorialData], file extension: tuto
Class [rTutorialKeyDispData], file extension: tkdd
Class [rTutorialLinkData], file extension: tlink
Class [rUIColorTable], file extension: uct
Class [rUVSequenceAsset], file extension: uvs
Class [rUmbra], file extension: umbra
Class [rUnderWaterCheck], file extension: uwc
Class [rUnitResource], file extension: ures
Class [rUserDictionaryList], file extension: usr_dct
Class [rVRAMCalcuParam], file extension: vcp
Class [rVibration], file extension: vib
Class [rViewParam], file extension: vprm
Class [rVillageStorySet], file extension: vss
Class [rWSenseColor], file extension: wsc
Class [rWSwordData], file extension: wep_wsd
Class [rWTalk], file extension: wtalk
Class [rWaterWaveCullingSetting], file extension: wcs
Class [rWeaponData], file extension: wp_dat
Class [rWeaponDataGunner], file extension: wp_dat_g
Class [rWeek53Map], file extension: ysm
Class [rWhistleData], file extension: wep_wsl
Class [rWp00Param], file extension: w00p
Class [rWp01Param], file extension: w01p
Class [rWp02Param], file extension: w02p
Class [rWp03Param], file extension: w03p
Class [rWp04Param], file extension: w04p
Class [rWp05Param], file extension: w05p
Class [rWp06Param], file extension: w06p
Class [rWp07Param], file extension: w07p
Class [rWp08Param], file extension: w08p
Class [rWp09Param], file extension: w09p
Class [rWp10Param], file extension: w10p
Class [rWp11Param], file extension: w11p
Class [rWp12Param], file extension: w12p
Class [rWp13Param], file extension: w13p
Class [rWpGunParam], file extension: wbgp
Class [rWpTutoBaseActData], file extension: wtba
Class [rWpTutoComboData], file extension: wtc
Class [rWptutoBasePageData], file extension: wpbp
Class [rWptutoWeaponData], file extension: wtw
Class [rWptutoWeaponPageData], file extension: wtwp
Class [rWwiseAreaTransitionTrigger], file extension: wwat
Class [rWwiseAreaTransitionTriggerList], file extension: wwatl
Class [rWwiseAuxSend], file extension: wwas
Class [rWwiseBank], file extension: nbnk
Class [rWwiseBankList], file extension: wwbk
Class [rWwiseBgmTargetTransition], file extension: wwbtt
Class [rWwiseCollisionList], file extension: wwcol
Class [rWwiseCollisionTrigger], file extension: wwcot
Class [rWwiseContainer], file extension: wwct
Class [rWwiseContainerList], file extension: wwctl
Class [rWwiseDemoTypeList], file extension: wwdt
Class [rWwiseDynamicBankList], file extension: wwbkd
Class [rWwiseEnumFloatConverterList], file extension: wwenf
Class [rWwiseEventList], file extension: wwev
Class [rWwiseGameParameter], file extension: wwgp
Class [rWwiseIgnoreAttSettings], file extension: wias
Class [rWwiseLocalizedData], file extension: wwld
Class [rWwiseMaterialGroup], file extension: wwmg
Class [rWwisePackage], file extension: npck
Class [rWwisePackageList], file extension: wwpk
Class [rWwisePriorityCurve], file extension: wwpc
Class [rWwiseResourceList], file extension: wwres
Class [rWwiseResourceListSetting], file extension: wwress
Class [rWwiseSettings], file extension: wwset
Class [rWwiseSpacialData], file extension: wwsd
Class [rWwiseSpeakerSetList], file extension: wwspl
Class [rWwiseStateList], file extension: wwst
Class [rWwiseSwitchList], file extension: wwsw
Class [rWwiseTimelineCulling], file extension: wwtc
Class [rZone], file extension: zon
